baseline_tag,labeling_model,0k,2k,5k,10k,20k,40k,300k
random,Meta-Llama-3.1-8B-Instruct,46.6,53.6,55.7,58.0,54.9,56.5,57.7
less,Meta-Llama-3.1-8B-Instruct,46.6,48.6,54.6,56.8,59.3,58.0,57.7
label-filtered,Meta-Llama-3.1-8B-Instruct,46.6,44.7,46.4,46.5,51.1,52.2,57.7
diversity-filtered,Meta-Llama-3.1-8B-Instruct,46.6,50.1,51.1,56.3,56.4,57.6,57.7
filtered,Meta-Llama-3.1-8B-Instruct,46.6,58.1,57.5,57.8,60.0,57.3,57.7
filtered-cured-0.4,Meta-Llama-3.1-8B-Instruct,46.6,55.6,57.5,60.1,58.9,58.5,57.7
label-filtered,gpt-4o-mini,46.6,47.4,48.6,50.8,55.5,54.9,57.7
diversity-filtered,gpt-4o-mini,46.6,50.1,50.9,59.5,57.3,58.0,57.7
filtered,gpt-4o-mini,46.6,58.4,59.6,60.0,59.1,57.7,57.7
filtered-cured-0.5,gpt-4o-mini,46.6,57.9,58.9,60.4,60.5,60.1,57.7
label-filtered,Mistral-7B-Instruct-v0.3,46.6,50.3,50.3,56.7,57.7,58.1,57.7
diversity-filtered,Mistral-7B-Instruct-v0.3,46.6,49.7,56.8,60.1,57.5,57.1,57.7
filtered,Mistral-7B-Instruct-v0.3,46.6,57.0,61.1,60.5,61.0,59.6,57.7
filtered-cured-0.5,Mistral-7B-Instruct-v0.3,46.6,57.2,59.8,59.4,59.2,58.9,57.7
