baseline_tag,labeling_model,0k,2k,5k,10k,20k,40k,300k
random,Meta-Llama-3.1-8B-Instruct,46.6,54.5,54.1,57.8,56.4,56.9,57.7
less,Meta-Llama-3.1-8B-Instruct,46.6,49.1,53.3,57.7,58.6,57.2,57.7
label-filtered,Meta-Llama-3.1-8B-Instruct,46.6,45.2,48.0,46.8,52.8,54.1,57.7
diversity-filtered,Meta-Llama-3.1-8B-Instruct,46.6,49.6,50.7,56.0,56.9,56.4,57.7
filtered,Meta-Llama-3.1-8B-Instruct,46.6,57.7,57.0,58.7,58.7,58.0,57.7
filtered-cured-0.4,Meta-Llama-3.1-8B-Instruct,46.6,58.0,58.4,60.1,60.6,58.6,57.7
label-filtered,gpt-4o-mini,46.6,47.6,47.2,50.6,56.3,53.4,57.7
diversity-filtered,gpt-4o-mini,46.6,50.3,51.8,58.9,58.0,57.7,57.7
filtered,gpt-4o-mini,46.6,58.5,59.9,60.3,59.4,57.9,57.7
filtered-cured-0.5,gpt-4o-mini,46.6,57.5,58.6,61.3,59.1,59.5,57.7
label-filtered,Mistral-7B-Instruct-v0.3,46.6,50.6,50.4,56.6,57.3,57.6,57.7
diversity-filtered,Mistral-7B-Instruct-v0.3,46.6,49.8,56.5,58.6,57.2,58.1,57.7
filtered,Mistral-7B-Instruct-v0.3,46.6,56.8,60.9,59.8,61.9,57.6,57.7
filtered-cured-0.5,Mistral-7B-Instruct-v0.3,46.6,56.5,59.8,60.5,59.7,58.4,57.7
