baseline_tag,labeling_model,0k,2k,5k,10k,20k,40k,300k
random,Meta-Llama-3.1-8B-Instruct,46.6,54.5,54.8,57.43,55.93,57.13,57.7
less,Meta-Llama-3.1-8B-Instruct,46.6,48.83,54.63,57.5,58.8,57.53,57.7
label-filtered,Meta-Llama-3.1-8B-Instruct,46.6,45.77,46.47,50.47,51.2,54.2,57.7
diversity-filtered,Meta-Llama-3.1-8B-Instruct,46.6,50.03,50.93,56.3,57.0,56.8,57.7
filtered,Meta-Llama-3.1-8B-Instruct,46.6,58.1,56.97,58.57,59.33,57.93,57.7
filtered-cured-0.4,Meta-Llama-3.1-8B-Instruct,46.6,57.3,58.23,60.13,59.73,58.37,57.7
label-filtered,gpt-4o-mini,46.6,47.57,48.03,53.17,55.77,54.5,57.7
diversity-filtered,gpt-4o-mini,46.6,50.47,51.13,58.33,57.63,57.03,57.7
filtered,gpt-4o-mini,46.6,58.73,59.6,60.17,59.0,58.13,57.7
filtered-cured-0.5,gpt-4o-mini,46.6,57.57,58.4,61.03,59.63,60.0,57.7
label-filtered,Mistral-7B-Instruct-v0.3,46.6,50.5,51.33,57.13,57.37,57.63,57.7
diversity-filtered,Mistral-7B-Instruct-v0.3,46.6,49.7,56.47,58.43,57.63,57.57,57.7
filtered,Mistral-7B-Instruct-v0.3,46.6,56.33,60.8,60.33,60.73,59.37,57.7
filtered-cured-0.5,Mistral-7B-Instruct-v0.3,46.6,56.57,59.43,60.33,59.83,58.6,57.7
