baseline_tag,labeling_model,0k,2k,5k,10k,20k,40k,300k
random,Meta-Llama-3.1-8B-Instruct,0.0,0.9,0.82,0.81,0.9,0.78,0.0
less,Meta-Llama-3.1-8B-Instruct,0.0,0.25,1.35,0.62,0.44,0.42,0.0
label-filtered,Meta-Llama-3.1-8B-Instruct,0.0,1.44,1.5,6.61,1.55,2.05,0.0
diversity-filtered,Meta-Llama-3.1-8B-Instruct,0.0,0.4,0.21,0.3,0.66,0.69,0.0
filtered,Meta-Llama-3.1-8B-Instruct,0.0,0.4,0.55,0.71,0.65,0.6,0.0
filtered-cured-0.4,Meta-Llama-3.1-8B-Instruct,0.0,1.48,0.67,0.06,0.85,0.32,0.0
label-filtered,gpt-4o-mini,0.0,0.15,0.74,4.27,0.46,0.96,0.0
diversity-filtered,gpt-4o-mini,0.0,0.47,0.59,1.53,0.35,1.42,0.0
filtered,gpt-4o-mini,0.0,0.49,0.3,0.15,0.46,0.59,0.0
filtered-cured-0.5,gpt-4o-mini,0.0,0.31,0.62,0.55,0.76,0.46,0.0
label-filtered,Mistral-7B-Instruct-v0.3,0.0,0.17,1.7,0.84,0.31,0.45,0.0
diversity-filtered,Mistral-7B-Instruct-v0.3,0.0,0.1,0.35,1.76,0.51,0.5,0.0
filtered,Mistral-7B-Instruct-v0.3,0.0,0.99,0.36,0.47,1.32,1.66,0.0
filtered-cured-0.5,Mistral-7B-Instruct-v0.3,0.0,0.6,0.64,0.86,0.71,0.26,0.0
